,Hotels,Prices,Descriptions,Full_Descriptions
0,Majestic 4BR/4BATH apartment in Sagrada Familia area,"€ 8,117",Managed by a private host,"Situated in Barcelona, 800 metres from Sagrada Familia and 1.6 km from La Pedrera, Majestic 4BR/4BATH apartment in Sagrada Familia area features spacious air-conditioned accommodation with a balcony and free WiFi. The property has city views and is 2.7 km from Passeig de Gracia and 2.8 km from Passeig de Gracia Metro Station. The property is non-smoking and is located 2.3 km from Casa Batllo.

This apartment has 4 bedrooms, a kitchen with a microwave and a fridge, a flat-screen TV, a seating area and 4 bathrooms fitted with a bidet.

Palau de la Musica Catalana is 3.2 km from the apartment, while Tivoli Theatre is 3.2 km from the property. The nearest airport is Barcelona El Prat, 15 km from Majestic 4BR/4BATH apartment in Sagrada Familia area, and the property offers a free airport shuttle service."
1,Le Palacete powered by Sonder,"€ 1,907",1 extra-large double bed,"Situated in Barcelona, in the Gracia district, 1 km from Park Güell, Sonder l Le Palacete features an interior garden and courtyard.

Rooms come with a flat-screen TV. Some units feature a seating area and a private terrace. You will find a coffee machine in the room. All rooms are equipped with a private bathroom. Sonder l Le Palacete features free WiFi throughout the property. The property offers contact-free check-in and 24/7 virtual support which limits in-person interaction.

Sagrada Familia is 1.3 km from Sonder l Le Palacete, while La Pedrera is 1.4 km away. The nearest airport is Barcelona El Prat Airport, 14 km from Sonder l Le Palacete."
2,SM Hotel Sant Antoni,"€ 1,190",Beds: 1 double or 2 singles,"Situated 5 minutes' walk from the Sagrada Familia, this stylish, modern hotel offers a 24-hour reception desk and free Wi-Fi access available throughout. Monumental Metro Station is 200 metres away.

Rooms at SM Hotel Sant Antoni feature parquet floors, a safe, work desk and flat-screen TV. Decorated in white, black and red tones, they have air conditioning and heating, and the private bathroom comes with a hairdryer and toiletries.

The Sant Antoni offers a continental buffet breakfast, and drinks and snacks are available from the vending machines. A wide range of cafés and restaurants can be found within a 5-minute walk.

SM Hotel Sant Antoni is 900 metres from L’Auditori Concert Hall and the National Theatre. Glòries Shopping Centre and Passeig de Gràcia Boulevard can both be reached within a 20-minute walk. You can reach Plaza Catalunya in 10 minutes by bus or metro."
3,Hotel del Mar,"€ 1,215",1 single bed,"Hotel del Mar is set in a listed building just 800 metres from the seafront and Barceloneta Metro Station. It is a 5-minute walk from the trendy Born neighbourhood and Ciutadella Park.

The air-conditioned rooms at Hotel del Mar have flat-screen satellite TV. There is a private bathroom with a hairdryer and amenities, and some rooms have a private balcony. A safe is also available with a surcharge.

Hotel del Mar has a 24-hour front desk. Barcelona’s França Train Station is a 5-minute walk away, and you can walk to Barcelona Cathedral and Maremagnum Shopping Centre in 10 minutes. Parking is available 5 minutes' walk from the property."
4,Golden Hotel Barcelona,"€ 1,306",Beds: 1 double or 2 singles,"Situated in Barcelona, 1.4 km from Sagrada Familia, Golden Hotel Barcelona is a sustainable property with the Biosphere certificate. It provides a rooftop terrace with outdoor swimming pool, jacuzzi and bar. 1.5 km from Port Olympic, the property is also 1.7 km from Sagarda Familia and 1.9 km away from Picasso Museum. There is a gym, a restaurant and a shared lounge.

 All guests staying at the Golden Hotel Barcelona get 1 free entry for person and stay to the spa at Hotel & Spa Villa Olimpic@ Suites complex (subject to availability and with prior reservation), located 450 meters away.

A buffet breakfast is available each morning at the property.

Speaking Spanish, Catalan, German and English at the reception, staff are ready to help around the clock.

Barcelona El Prat Airport is 15 km from the property."
5,Hotel Lloret Ramblas,"€ 1,345",1 double bed,"Hotel Lloret Ramblas is situated on Barcelona’s famous Las Ramblas, just outside Plaza Catalunya Square. It offers a 24-hour reception and air-conditioned rooms with flat-screen satellite TV and free Wi-Fi.

Each functional room at the Lloret Ramblas Hotel features a work desk and a private bathroom with amenities. Some rooms also have a private balcony.

Breakfast is served in Hotel Lloret Ramblas’s beautiful lounge-dining room, which dates from the early 20th century. The reception area has a free PC with internet and a free safe.

Barcelona Cathedral and the MACBA Modern Art Museum are both around 500 metres from Hotel Lloret. Catalunya Metro Station is a 1-minute walk away, and direct airport buses stop within 100 metres."
6,Hotel Concordia Barcelona,"€ 1,597",1 double bed,"Hotel Concordia Barcelona is situated 800 metres from Plaza España and the Fira de Barcelona Exhibition Centre. It features a sun terrace with an outdoor swimming pool, hot tub, cocktail bar and solarium.

The Hotel Concordia Barcelona’s bright, spacious rooms feature contemporary décor and air conditioning.  Each room includes free WiFi, a flat-screen TV, safe, minibar and a private bathroom with a range of amenities.

The Concordia Barcelona’s modern, elegant  Bistro Triple Sec Restaurant serves typical Mediterranean cuisine. The varied breakfast buffet includes healthy options. There is also a café and cocktail bar open daily. Private parking is available on site for an extra cost and electrical cars charging station is available.

Located next to Poble Sec Station, the hotel is a 5-minute Metro journey from Barcelona Port and La Rambla. You can also walk to the Rambla in 15 minutes. Direct airport buses stop in Plaza España, a 15-minute walk away.

Private parking is available on site for an extra cost."
7,Hotel Glòries,"€ 1,103",Beds: 1 double or 2 singles,"This modern hotel is located 200 metres from Barcelona’s Monumental Bull Ring and 12 minutes from the Sagrada Familia. The rooms all have air conditioning and heating, satellite TV and free Wi-Fi.

Monumental Metro Station is just 3 minutes’ walk away from Hotel Glòries, and offers a direct service to Plaza Catalunya in around 5 minutes.

The hotel is well located for the 22@ high-tech area, as well as the Agbar Tower. The National Theatre of Catalunya and the Auditori Concert Hall are just 400 metres away.

The Hotel Glòries’s 24-hour front desk offers car and bike hire. They can also exchange currency and reserve tickets."
8,Catalonia Eixample 1864,"€ 1,314",Beds: 1 double or 2 singles,"Located in Barcelona’s Eixample district, this 19th-century building offers stylish modern interiors and free WiFi. It is just 300 metres from the designer shops and Gaudí buildings of Passeig de Gràcia Boulevard.

The Catalonia Eixample 1864 is housed in one of the Eixample’s oldest buildings, and its painted façade gives it the Speciality Monument status.

All soundproofed en-suite rooms sleek wooden floors and furniture, air conditioning and all rooms have smart TVs, which are equipped with Chromecast app.. Some rooms have a private terrace and pool.

A buffet breakfast with show cooking is offered every morning at the Sala Minerva; while the hotel's Les Finestres de Llúria restaurant serves traditional Catalan food with a creative twist. Room service is also available.

Catalonia Eixample 1864 boasts a rooftop swimming pool, sundeck and bar; as well as a gym.

The Catalonia Eixample 1864 is ideally located just a 5-minute walk from Passeig de Gracia Station. Plaza Catalunya Square is a 10-minute walk away.

The hotel offers private parking on-site for an extra cost and an electric vehicle charging station."
9,Silken Sant Gervasi,"€ 1,100",2 single beds,"Located in the quiet San Gervasi district of Barcelona, this elegant hotel offers modern rooms with free internet connection. The Silken is just 8 minutes by train from Plaza Catalunya.

The restaurant at Silken San Gervasi offers traditional cuisine with modern influences. A breakfast buffet is served in the cafeteria, and drinks and snacks are also available throughout the day.

Functional rooms include a free safe and central heating and air conditioning. The marble bathroom is complete with a hairdryer.

Silken St. Gervasi is a 15-minute walk from Park Guell, with impressive structures, mosaics and architecture by Antoni Gaudí. El Putxet Station can be found 50 metres from the hotel with direct access to the city centre."
10,Allegro Barcelona,"€ 1,508",Beds: 1 double or 2 singles,"Allegro Barcelona is a futuristic design hotel, situated 100 metres from Barcelona’s Diagonal Metro Station. Its stylish rooms include free Wi-Fi, digital radio and LCD TV with satellite channels.

Each room at Allegro Barcelona features elegant white décor with colourful touches. Rooms are air-conditioned and come with an electronic safe. Bathrooms include a hairdryer and toiletries.

A continental breakfast buffet is served until 10:30 each day at Allegro Barcelona. Numerous tapas bars and pavement cafés can be found on Rambla de Catalunya, a 5-minute walk away.

Other facilities include portable WiFi for no charge.

The famous Gaudi buildings and designer shops of Passeig de Gracia are just 500 metres from the hotel, while Plaza Catalunya is a 15-minute walk away. Staff at the 24-hour reception can provide information about Barcelona, recommend excursions and arrange airport transfers."
11,Hotel Alimara,"€ 1,005",1 single bed,"Hotel Alimara is a modern hotel located in Barcelona’s Horta district. It has a central garden, several meeting rooms, rooms with flat-screen TVs, and a fitness centre.

All rooms at the Alimara Hotel have both air conditioning and heating. They all have a private bathroom with hairdryer.

The Alimara’s restaurant serves Mediterranean food with a modern twist and there are children’s menus available. The hotel bar, SUMMUM, features a terrace and serves food, drinks and snacks.

The hotel is located 1 minutes' walk from Mundet Metro Station, and it is a 12-minute journey into central Barcelona. Gaudí’s iconic Parc Güell is 4 Metro stops away from Mundet."
12,Ibis Barcelona Plaza Glòries 22@,"€ 1,332",1 large double bed,"Ibis Barcelona Plaza Glòries 22@ is located in Barcelona’s Glòries district, 500 metres from Torre Agbar. It offers a fitness centre, 24-hour bar and soundproofed rooms with a flat-screen TV.

All rooms at the Ibis Plaza Glòries have air conditioning and heating. They also have a private bathroom with a hairdryer. Free Wi-Fi is offered throughout.

The Hotel Ibis Plaza Glòries has a restaurant which serves a buffet breakfast. Rates with breakfast included does not include breakfast for children. Children under 12 can enjoy breakfast for 4 euros per person

Llacuna and Glòries Metro Stations are within 5 minutes’ walk from the hotel. From here you can reach Plaza Catalunya or Barceloneta Beach in under 10 minutes."
13,Catalonia Gran Via BCN,"€ 1,634",Beds: 1 double or 2 singles,"Catalonia Gran Via BCN is set on Gran Vía and within 5 minutes’ walk of Urgell and Universitat Metro Stations, and beside the airport bus stop. It features an outdoor swimming pool, a gym and free Wi-Fi.

Each of the modern rooms at Catalonia Gran Via BCN is themed around a different city and air travel. All rooms have flat-screen TVs with satellite channels and an iPod docking station.

You can enjoy breakfast in Catalonia Gran Via BCN, while à la carte options are offered in the Gourmet Corner.

You can walk to both Plaza Catalunya and Las Ramblas in 10 minutes. Plaza de España, the Magic Fountains and the FIRA are just 2 stops from Urgell Station."
14,Aparthotel Senator Barcelona,"€ 1,283",Beds: 1 double or 2 singles,"The Aparthotel Senator Barcelona is situated on Via Augusta, in a pleasant residential area, a 2-minute walk from Muntaner Train Station. It includes air conditioning, heating, and free Wi-Fi in hotel rooms.

All rooms and apartments have a TV, telephone, and a private bathroom with a bathtub or a shower. The apartments also include an equipped with kitchenette.

A 6-minute train ride will take you to Plaza Cataluña and Barcelona city centre. Sagrada Familia Cathedral is 3.3 km away."
15,Hostal Levante Barcelona,€ 990,1 double bed,"Just 3 minutes’ walk from Barcelona’s famous Ramblas, Hostal Levante Barcelona offers free WiFi and a 24-hour reception. Air-conditioned and heated rooms have a private bathroom, fan and work desk.

Hostal Levante Barcelona guest house has a vending machine where drinks are available. Many cafés and restaurants can be found in the immediate surroundings.

Luggage storage is offered and there is a safe for guest use. The multilingual staff can help with things to see and do in Barcelona. Lively Plaça Reial is just 100 metres away."
16,Unite Hostel Barcelona,"€ 2,048",Multiple bed types,"Set in Barcelona, 400 metres from Nova Icaria, Unite Hostel Barcelona offers accommodation with a restaurant, private parking, a bar and a shared lounge. Among the facilities at this property are a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. The hostel features family rooms.

At the hostel, all rooms are fitted with air conditioning and a private bathroom.

The accommodation offers a terrace.

Popular points of interest near Unite Hostel Barcelona include Somorrostro, Bogatell and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 18 km from the hostel."
17,Hostal Fernando,"€ 1,346",Beds: 1 double or 2 singles,"Hostal Fernando is set in Barcelona’s Gothic Quarter, 100 metres from Las Ramblas and the historic Plaça Sant Jaume. It offers air-conditioned rooms and dormitories with free Wi-Fi.

The basic rooms at the Hostal Fernando come with a TV, safe and a private bathroom.

Fernando guest house has a simple restaurant and bar. There are many bars and restaurants within a short walk.

The guest house has a tour desk, and bicycle and car rental are offered. Barcelona Cathedral, the Picasso Museum and the famous Boquería Market are all within a 10-minute walk."
18,Aparthotel Bcn Montjuic,"€ 1,286",2 single beds,"Set at the foot of Montjuic Hill, this design aparthotel is a 10-minute walk from Plaza Espanya Metro Station and the Airport Bus Stop. It offers free WiFi and a rooftop terrace with a solarium and a seasonal swimming pool.

The BCN Montjuic is a 5-minute walk from Las Arenas Shopping Centre and a short walk from the Olympic Stadium. Barcelona city centre can be reached in 15 minutes by bus or Metro.

All modern rooms at the Montjuic have air conditioning and heating. They include a flat-screen TV, a seating area and a kitchen with a fridge and microwave.

The apartments also include a living area with a sofa bed, a private bathroom and an equipped kitchen with a washing machine. Bed linen and towels are provided.

The Aparthotel Bcn Montjuic has a TV room, as well as a 24-hour front desk and a tour desk, where guests can arrange to visit local attractions. Laundry service is also available."
